target_id	length	eff_length	est_counts	tpm
ABV71498.1	678	454.148	2	500.135
ABV71499.1	681	457.148	16	3974.82
ABV71500.1	744	520.148	11	2401.71
ABV71501.1	558	334.336	5	1698.4
ABV71502.1	648	424.148	8	2142.04
ABV71503.1	846	622.148	55	10039.8
ABV71504.1	786	562.148	17	3434.41
ABV71505.1	933	709.148	33	5284.84
ABV71506.1	789	565.148	11	2210.47
ABV71507.1	930	706.148	22	3538.19
ABV71508.1	882	658.148	5	862.782
ABV71509.1	825	601.148	51	9634.81
ABV71510.1	723	499.148	26	5915.6
ABV71511.1	765	541.148	39	8184.71
ABV71512.1	720	496.148	3	686.696
ABV71513.1	1731	1507.15	39	2938.75
ABV71514.1	1779	1555.15	14	1022.38
ABV71515.1	1503	1279.15	9	799.054
ABV71516.1	1812	1588.15	50	3575.47
ABV71517.1	1086	862.148	33	4346.97
ABV71518.1	1065	841.148	124	16741.9
ABV71519.1	1389	1165.15	1	97.4705
ABV71520.1	1050	826.148	25	3436.66
ABV71521.1	486	263.108	12	5179.66
ABV71522.1	546	322.336	3	1056.98
ABV71523.1	348	134.248	5	4229.77
ABV71524.1	492	269.037	41	17307.2
ABV71525.1	195	38.913	4	11674
ABV71526.1	933	709.148	1	160.147
ABV71527.1	513	289.662	5	1960.35
ABV71528.1	705	481.148	41	9677.42
ABV71529.1	1254	1030.15	151	16646.8
ABV71530.1	912	688.148	133	21949.5
ABV71531.1	660	436.148	5	1301.94
ABV71532.1	183	33.4713	0	0
ABV71533.1	321	111.994	45	45632.1
ABV71534.1	453	230.96	210	103261
ABV71535.1	501	277.89	405	165514
ABV71536.1	855	631.148	6	1079.63
ABV71537.1	669	445.148	3	765.37
ABV71538.1	369	151.986	0	0
ABV71539.1	708	484.148	6	1407.43
ABV71540.1	771	547.148	3	622.689
ABV71541.1	819	595.148	6	1144.93
ABV71542.1	222	49.7141	0	0
ABV71543.1	1422	1198.15	29	2748.79
ABV71544.1	984	760.148	8	1195.22
ABV71545.1	309	103.108	0	0
ABV71546.1	729	505.148	13	2922.67
ABV71547.1	315	107.419	14	14801.4
