target_id	length	eff_length	est_counts	tpm
ABV71498.1	678	472.787	1	250.519
ABV71499.1	681	475.787	2	497.878
ABV71500.1	744	538.787	1	219.831
ABV71501.1	558	352.874	2	671.298
ABV71502.1	648	442.787	16	4279.87
ABV71503.1	846	640.787	58	10720.6
ABV71504.1	786	580.787	57	11624.2
ABV71505.1	933	727.787	56	9113.58
ABV71506.1	789	583.787	35	7100.99
ABV71507.1	930	724.787	41	6700.06
ABV71508.1	882	676.787	3	525.018
ABV71509.1	825	619.787	163	31149.5
ABV71510.1	723	517.787	60	13724.8
ABV71511.1	765	559.787	84	17773
ABV71512.1	720	514.787	0	0
ABV71513.1	1731	1525.79	75	5822.01
ABV71514.1	1779	1573.79	31	2333.03
ABV71515.1	1503	1297.79	26	2372.88
ABV71516.1	1812	1606.79	30	2211.4
ABV71517.1	1086	880.787	13	1748.15
ABV71518.1	1065	859.787	55	7576.65
ABV71519.1	1389	1183.79	8	800.427
ABV71520.1	1050	844.787	10	1402.03
ABV71521.1	486	281.102	13	5477.53
ABV71522.1	546	340.874	9	3127.19
ABV71523.1	348	148.169	11	8793.06
ABV71524.1	492	287.032	42	17331
ABV71525.1	195	37.4436	4	12652.8
ABV71526.1	933	727.787	1	162.743
ABV71527.1	513	307.957	1	384.605
ABV71528.1	705	499.787	16	3791.76
ABV71529.1	1254	1048.79	82	9260.44
ABV71530.1	912	706.787	68	11395.3
ABV71531.1	660	454.787	1	260.434
ABV71532.1	183	31.8842	1	3714.75
ABV71533.1	321	123.942	24	22935
ABV71534.1	453	248.485	116	55292.1
ABV71535.1	501	296.032	176	70417.2
ABV71536.1	855	649.787	4	729.112
ABV71537.1	669	463.787	2	510.76
ABV71538.1	369	167.391	1	707.577
ABV71539.1	708	502.787	3	706.712
ABV71540.1	771	565.787	3	628.02
ABV71541.1	819	613.787	11	2122.66
ABV71542.1	222	51.108	1	2317.48
ABV71543.1	1422	1216.79	36	3504.23
ABV71544.1	984	778.787	7	1064.6
ABV71545.1	309	113.662	1	1042.05
ABV71546.1	729	523.787	16	3618.02
ABV71547.1	315	118.756	15	14960.3
ABV71548.1	1104	898.787	1	131.78
ABV71549.1	297	103.343	2	2292.21
ABV71550.1	1023	817.787	24	3475.97
ABV71551.1	372	170.223	5	3479.03
ABV71552.1	312	116.304	39	39716.9
ABV71553.1	855	649.787	10	1822.78
ABV71554.1	903	697.787	7	1188.18
ABV71555.1	1971	1765.79	15	1006.14
ABV71556.1	567	361.787	15	4910.7
ABV71557.1	1827	1621.79	15	1095.48
ABV71558.1	1026	820.787	16	2308.85
ABV71559.1	1083	877.787	11	1484.26
ABV71560.1	366	164.432	6	4321.85
ABV71561.1	2016	1810.79	22	1439
ABV71562.1	3150	2944.79	26	1045.74
ABV71563.1	1173	967.787	12	1468.61
ABV71564.1	1224	1018.79	14	1627.61
ABV71565.1	1926	1720.79	12	825.961
ABV71566.1	1431	1225.79	63	6087.39
ABV71567.1	1461	1255.79	4.44444	419.185
ABV71568.1	996	790.787	34	5092.43
ABV71569.1	492	287.032	3.55556	1467.18
ABV71570.1	666	460.787	74	19021.2
ABV71571.1	237	60.3811	18	35308.3
ABV71572.1	378	175.921	11	7405.94
ABV71573.1	1272	1066.79	44	4885.18
ABV71574.1	1302	1096.79	57	6155.42
ABV71575.1	2721	2515.79	39	1836.1
ABV71576.1	873	667.787	15	2660.47
ABV71577.1	2949	2743.79	18	777.011
ABV71578.1	6723	6517.79	84	1526.46
ABV71579.1	228	54.9186	12	25880.1
ABV71580.1	1713	1507.79	69	5420.19
ABV71581.1	1203	997.787	18	2136.68
ABV71582.1	474	269.17	14	6160.36
ABV71583.1	2004	1798.79	18	1185.22
ABV71584.1	1131	925.787	25	3198.41
ABV71585.1	3729	3523.79	121	4067.06
ABV71586.1	2724	2518.79	115	5407.69
ABV71587.1	2547	2341.79	37	1871.37
ABV71588.1	3708	3502.79	23	777.713
ABV71589.1	372	170.223	0	0
ABV71590.1	456	251.424	0	0
ABV71591.1	2226	2020.79	24	1406.68
ABV71592.1	2841	2635.79	8	359.488
ABV71593.1	1143	937.787	11	1389.29
ABV71594.1	1167	961.787	9	1108.33
ABV71595.1	408	204.757	10	5784.51
ABV71596.1	1395	1189.79	4	398.195
ABV71597.1	2232	2026.79	16	935.012
ABV71598.1	978	772.787	5.56282	852.591
ABV71599.1	1893	1687.79	9.43718	662.262
ABV71600.1	1296	1090.79	198	21499.6
ABV71601.1	888	682.787	7	1214.28
ABV71602.1	2127	1921.79	17.21	1060.67
ABV71603.1	1122	916.787	9.78997	1264.79
ABV71604.1	1680	1474.79	7	562.178
ABV71605.1	1686	1480.79	11	879.843
ABV71606.1	1752	1546.79	56	4288.08
ABV71607.1	921	715.787	4	661.883
ABV71608.1	4113	3907.79	7	212.164
ABV71609.1	2826	2620.79	12	542.319
ABV71610.1	1287	1081.79	4	437.949
ABV71611.1	2025	1819.79	17	1106.45
ABV71612.1	201	40.1929	0	0
ABV71613.1	336	137.218	1	863.166
ABV71614.1	606	400.787	3	886.57
ABV71615.1	1785	1579.79	12	899.68
ABV71616.1	1038	832.787	25	3555.59
ABV71617.1	1596	1390.79	21	1788.4
ABV71618.1	384	181.654	10	6520.18
ABV71619.1	2124	1918.79	48	2962.92
ABV71620.1	1755	1549.79	60	4585.48
ABV71621.1	573	367.787	11	3542.43
ABV71622.1	1122	916.787	12	1550.31
ABV71623.1	2625	2419.79	20	978.945
ABV71624.1	750	544.787	7	1521.87
ABV71625.1	2094	1888.79	10	627.079
ABV71626.1	2871	2665.79	51	2265.95
ABV71627.1	2052	1846.79	60	3848.04
ABV71628.1	753	547.787	11	2378.41
ABV71629.1	837	631.787	15	2812.07
ABV71630.1	942	736.787	21	3375.85
ABV71631.1	1278	1072.79	16	1766.49
ABV71632.1	1038	832.787	28	3982.26
ABV71633.1	606	400.787	2	591.047
ABV71634.1	543	337.874	1	350.55
ABV71635.1	1743	1537.79	10.0489	773.973
ABV71636.1	1476	1270.79	62.9511	5867.27
ABV71637.1	459	254.299	1	465.758
ABV71638.1	396	193.002	0	0
ABV71639.1	516	310.957	4	1523.58
ABV71640.1	645	439.787	5	1346.58
ABV71641.1	390	187.426	2	1263.88
ABV71642.1	813	607.787	152	29620.8
ABV71643.1	951	745.787	194	30810
ABV71644.1	228	54.9186	13	28036.8
ABV71645.1	480	275.17	8	3443.45
ABV71646.1	345	145.465	0	0
ABV71647.1	393	190.286	31	19295.7
ABV71648.1	528	322.957	51	18703.8
ABV71649.1	918	712.787	1	166.167
ABV71650.1	213	46.2454	7	17928.1
ABV71651.1	576	370.787	3	958.301
